Source ID,Source Name,Author,Title,Description,URL,URL To Image,Published At,Content,Coded Topic,Movie Name
,ComingSoon.net,Disheeta Maheshwari,The Hunger Games Streaming: Watch & Stream Online via Peacock,"the hunger games (2012) is an american action film based on suzanne collins’ 2008 novel of the same name. it follows katniss everdeen and peeta mellark from district 12, who are forced to compete in an elaborate game consisting of two teenage contestants from…",https://www.comingsoon.net/guides/news/1395658-the-hunger-games-streaming-watch-stream-online-via-peacock,"https://www.comingsoon.net/wp-content/uploads/sites/3/2023/11/The-Hunger-Games.jpeg?resize=1200,630",2023-11-09T09:40:01Z,"The Hunger Games (2012) is an American action film based on Suzanne Collins 2008 novel of the same name. It follows Katniss Everdeen and Peeta Mellark from District 12, who are forced to compete in a… [+3135 chars]",Writing,Hunger Games
,/FILM,staff@slashfilm.com (Sandy Schaefer),Everything You Need To Remember To Enjoy The Marvels,"the marvels is far more than just a sequel to captain marvel, so allow us to bring you up to speed on what&amp;#39;s been happening in the mcu lately.",https://www.slashfilm.com/1441807/everything-you-need-remember-enjoy-the-marvels/,https://www.slashfilm.com/img/gallery/everything-you-need-to-remember-to-enjoy-the-marvels/l-intro-1699466596.jpg,2023-11-09T10:45:05Z,"The kids are alright in the MCU, as we saw in the delightful ""Ms. Marvel."" The series introduces Iman Vellani (easily the breakout star of Phase 4 of the MCU) as Kamala Khan, a creative, enthusiastic… [+1506 chars]",Lore,Marvel
,/FILM,staff@slashfilm.com (Jeremy Mathai),The Marvels Pays Off The Worst Part Of Secret Invasion Ending (Kind Of),"secret invasion never really explained why skrulls couldn&amp;#39;t have a place of their own on earth like new asgard, and the marvels actually rectifies that.",https://www.slashfilm.com/1441875/the-marvels-kinda-pays-off-worst-part-secret-invasion-ending/,https://www.slashfilm.com/img/gallery/the-marvels-pays-off-the-worst-part-of-secret-invasion-ending-kind-of/l-intro-1699469113.jpg,2023-11-10T19:00:00Z,"Warning: This article contains spoilers for ""The Marvels.""
Leave it to the Marvel Cinematic Universe to use their 33rd film in the franchise as a sequel (of sorts) to several properties across multi… [+1625 chars]",Lore,Marvel
,/FILM,staff@slashfilm.com (Rafael Motamayor),Kamala Khan Is The Future Of The MCU – And The Young Avengers May Be Next,"the marvels mixes no bones about giving kamala khan a critical role in the future of the marvel cinematic universe, and yes, it seems to include young avengers.",https://www.slashfilm.com/1441964/kamala-khan-future-mcu-young-avengers/,https://www.slashfilm.com/img/gallery/kamala-khan-is-the-future-of-the-mcu-and-the-young-avengers-may-be-next/l-intro-1699471723.jpg,2023-11-10T12:00:36Z,"The ending of ""The Marvels"" makes it clear that Kamala is taking up the mantle of Nick Fury for the new Avengers. In a weird way, Marvel already assembling a new Avengers team rather than rebuilding … [+1559 chars]",Lore,Marvel
,/FILM,staff@slashfilm.com (Hannah Shaw-Williams),"The Marvels Heads For $47-52 Million Opening Weekend, A Historic Low For The MCU","the marvels is projected to set an unenviable record for the marvel cinematic universe, with the lowest opening weekend in the franchise&amp;#39;s history.",https://www.slashfilm.com/1444499/the-marvels-box-office-opening-weekend-lowest-mcu/,https://www.slashfilm.com/img/gallery/the-marvels-heads-for-47-52-million-opening-weekend-an-historic-low-for-the-mcu/l-intro-1699721779.jpg,2023-11-11T17:10:40Z,"For about a decade or so, Marvel Cinematic Universe movies were such a solid bet at the box office that a sequel grossing ""only"" $644 million was considered a low point. But following the departure o… [+1621 chars]",Box Office,Marvel
,/FILM,staff@slashfilm.com (Sandy Schaefer),What Critics And Fans Are Saying About The Marvels,"2023 has been a rough year for the mcu, but does the marvels end things on a high note? here&amp;#39;s what critics and fans are saying about the film.",https://www.slashfilm.com/1443799/what-critics-fans-saying-the-marvels/,https://www.slashfilm.com/img/gallery/what-critics-and-fans-are-saying-about-the-marvels/l-intro-1699635348.jpg,2023-11-10T17:18:32Z,"To say the /Film team is mixed on ""The Marvels"" would be a bit of an understatement. In his review, Jeremy Mathai wrote that ""Vellani's big-screen debut singlehandedly makes 'The Marvels' worth your … [+2198 chars]",Box Office,Marvel
,/FILM,staff@slashfilm.com (BJ Colangelo),The Marvels Credit Scene (And That Surprise Character Cameo) Explained,"stay in your seat when the credits start rolling on the marvels, because the post-credits scene teases a major shake-up for the mcu.",https://www.slashfilm.com/1442608/the-marvels-post-credits-scene-explained/,https://www.slashfilm.com/img/gallery/the-marvels-credits-scene-explained/l-intro-1699541016.jpg,2023-11-09T23:00:00Z,"This article containsmajor spoilersfor ""The Marvels.""
Whether you loved it (like I did) or hated it, the latest addition to the Marvel Cinematic Universe, Nia DaCosta's ""The Marvels,"" is mandatory v… [+1519 chars]",Writing,Marvel
,/FILM,staff@slashfilm.com (BJ Colangelo),The Marvels Final Trailer Promises A Moment That Changes Everything,"the final trailer for the latest entry in the marvel cinematic universe, the marvels, has arrived ahead of its release on november 10.",https://www.slashfilm.com/1440150/the-marvels-final-trailer-moment-changes-everything/,https://www.slashfilm.com/img/gallery/the-marvels-final-trailer-promises-a-moment-that-changes-everything/l-intro-1699328695.jpg,2023-11-07T03:50:07Z,"Ahead of the film's release on November 10, 2023, Marvel Studios debuted the final trailer for ""The Marvels,"" the latest addition to the Marvel Cinematic Universe. Directed by Nia DaCosta (""Candyman,… [+1598 chars]",Lore,Marvel
,/FILM,staff@slashfilm.com (Bill Bria),The Marvels Ending Explained: Let The Sunshine In,"the marvels connects captain marvel to the series ms. marvel and wandavision, but here&amp;#39;s a complete guide to everything you need to know about the ending.",https://www.slashfilm.com/1442358/the-marvels-ending-explained/,https://www.slashfilm.com/img/gallery/the-marvels-ending-explained-let-the-sunshine-in/l-intro-1699498250.jpg,2023-11-09T22:00:00Z,"Dar-Benn makes a plea to the leader of the now-nomadic Skrulls, Emperor Dro'ge (Gary Lewis), on the Skrulls' temporary home of Tarnax: let her relocate the Skrulls and then use the bangle to open a j… [+1530 chars]",Lore,
,/FILM,staff@slashfilm.com (William Bibbiani),Howard The Duck Isn't The First Marvel Comics Movie – The Real One Came Out One Year Earlier,"red sonja deserves to wear the crown of marvels first live-action theatrical feature, even if that means howard the duck loses the crown.",https://www.slashfilm.com/1437484/howard-the-duck-isnt-first-marvel-comics-movie-red-sonja/,https://www.slashfilm.com/img/gallery/howard-the-duck-isnt-the-first-marvel-comics-movie-the-real-one-came-out-one-year-earlier/l-intro-1698968444.jpg,2023-11-07T21:00:57Z,"Somehow, the makers of the ""Red Sonja"" movie got away with using Roy Thomas and Barry Windsor-Smith's almost completely original version of the character without actually crediting them, or even cred… [+1684 chars]",Production,
,Forbes,"Jeff Conway, Senior Contributor, 
 Jeff Conway, Senior Contributor
 https://www.forbes.com/sites/jeffconway/",‘The Hunger Games: The Ballad Of Songbirds And Snakes’ Hits On A High Note,"with its strong cast and filmmakers, the new ""hunger games"" film tells the origin story of how president snow came into power and the people who impacted his journey.",https://www.forbes.com/sites/jeffconway/2023/11/09/the-hunger-games-the-ballad-of-songbirds-and-snakes-hits-on-a-high-note/,"https://imageio.forbes.com/specials-images/imageserve/654c7d88e9f38fe350cf2ed1/0x0.jpg?format=jpg&crop=1500,844,x0,y14,safe&height=900&width=1600&fit=bounds",2023-11-09T19:00:03Z,"Tom Blythe as Coriolanus Snow and Rachel Zegler as Lucy Gray Baird in ""The Hunger Games: The Ballad ... [+] of Songbirds and Snakes""
Lionsgate
Following the global phenomenon of the original Hunger… [+6096 chars]",Writing,Hunger Games
,/FILM,staff@slashfilm.com (Ryan Scott),The Marvels Is On Track For One Of The MCU's Lowest Box Office Openings,bad news for the marvels: the latest from the marvel cinematic universe looks to be headed towards a less-than-great opening weekend at the box office.,https://www.slashfilm.com/1443945/the-marvels-box-office-opening-weekend/,https://www.slashfilm.com/img/gallery/the-marvels-is-on-track-for-one-of-the-mcus-lowest-box-office-openings/l-intro-1699640970.jpg,2023-11-10T21:00:00Z,"Even in the most optimistic scenario, an over/under $60 million domestic opening for a movie with a budget well north of $200 million is not good. International ticket sales appear to be similarly so… [+1463 chars]",Box Office,
,Playstation.com,Andrea Perez,"Celebrating the holiday season with blockbuster games, new hardware products, and more PS5 console inventory than ever before","next week marks the third year since ps5 launched and we wanted to take this opportunity to thank the more than 40 million players who’ve joined our global ps5 community. in these first three years, playstation studios and third-party developers have introduc…",https://blog.playstation.com/2023/11/07/celebrating-the-holiday-season-with-blockbuster-games-new-hardware-products-and-more-ps5-console-inventory-than-ever-before/,https://blog.playstation.com/tachyon/2053/11/1ef0efa0c7a9a7f0aa6fb5f1d7c7ecdf883be724.jpeg,2023-11-07T13:00:43Z,"Next week marks the third year since PS5 launched and we wanted to take this opportunity to thank the more than 40 million players whove joined our global PS5 community. In these first three years, P… [+3370 chars]",,
,The A.V. Club,Cindy White,The Marvels' cosmic connections: Who's the new villain and why does she hate Captain Marvel?,"while marvel studios has been keeping plenty under wraps about the captain marvel sequel the marvels, there are a few things we either know or can anticipate about the film. for instance, fans have already met the three heroes who are teaming up for this stor…",https://www.avclub.com/the-marvels-movie-dar-benn-villain-explained-1851005710,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/0f7525c70ee5a390c317548ab117f44c.jpg",2023-11-09T14:00:00Z,"While Marvel Studios has been keeping plenty under wraps about the Captain Marvel sequel The Marvels, there are a few things we either know or can anticipate about the film. For instance, fans have a… [+7275 chars]",Lore,Marvel
,Daily Beast,Nick Schager,‘The Hunger Games’ Prequel Is Worse Than Terrible: It’s Bland,"murray close/lionsgate
with a title almost as cumbersome as the film itself, the hunger games: the ballad of songbirds and snakes gives viewers more of the ridiculously named characters, absurd outfits and hairstyles, and child-murder tournaments that made t…",https://www.thedailybeast.com/obsessed/the-hunger-games-the-ballad-of-songbirds-and-snakes-review-a-needless-prequel,"https://img.thedailybeast.com/image/upload/c_crop,d_placeholder_euli9k,h_2025,w_3600,x_0,y_0/dpr_2.0/c_limit,w_740/fl_lossy,q_auto/v1699553254/boss-unit-220823-00524-r_n357td",2023-11-09T19:00:00Z,"With a title almost as cumbersome as the film itself, The Hunger Games: The Ballad of Songbirds and Snakes gives viewers more of the ridiculously named characters, absurd outfits and hairstyles, and … [+6381 chars]",Production,Hunger Games
,The A.V. Club,William Hughes,The Marvels is headed for one of the MCU's all-time worst box office openings,"whatever your feelings about the current creative state of the marvel cinematic universe, it’s hard to deny that the franchise’s financial issues are becoming more obvious by the week. that’s come into especially tight focus this week, with the release of nia…",https://www.avclub.com/the-marvels-is-headed-for-one-of-the-mcus-all-time-wors-1851014431,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/100b920bf465c255cf9c38c11cc2e64d.jpg",2023-11-11T20:21:00Z,"Whatever your feelings about the current creative state of the Marvel Cinematic Universe, its hard to deny that the franchises financial issues are becoming more obvious by the week. Thats come into … [+1884 chars]",Box Office,Marvel
,IndieWire,Proma Khosla,Kamala Khan Is Marvel’s Not-So-Secret Weapon,"iman vellani's wide-eyed teen hero is the saving grace of ""the marvels"" — and the solid foundation for a new marvel era.",https://www.indiewire.com/features/commentary/kamala-khan-is-the-marvels-mcu-future-1234924237/,https://www.indiewire.com/wp-content/uploads/2023/11/GRO-01822_RC-1.jpg,2023-11-11T20:00:00Z,"The Marvel Cinematic Universe is well past its peak.
All is not lost just yet, however, as there is still a panoply of costume heroes lining up to save the galaxy from danger or time travel or god-k… [+4215 chars]",Lore,Marvel
,IndieWire,Kate Erbland,‘The Marvels’ Post-Credits Scenes Give Fans Exactly What They Want,"nia dacosta's ""the marvels"" ends with a single post-credits scene, but the path forward it hints at seems destined to change the mcu forever.",https://www.indiewire.com/features/general/the-marvels-post-credits-scenes-explained-1234923780/,https://www.indiewire.com/wp-content/uploads/2023/11/GRO-09556_R.jpg,2023-11-10T22:00:00Z,"[Editor’s note: The following article contains spoilers for both “The Marvels” and its post-credits scene.]
Nia DaCosta’s “The Marvels” may end with lots of reveals and game-changers — like Carol Da… [+5003 chars]",Writing,Marvel
,/FILM,staff@slashfilm.com (Sandy Schaefer),The Final Marvels Trailer Features An X-Men Easter Egg You Probably Missed,there&amp;#39;s a blink-and-you&amp;#39;ll-miss-it easter egg in the final trailer for the marvels that suggests the x-men may be coming to the mcu sooner than expected.,https://www.slashfilm.com/1440383/final-marvels-trailer-features-x-men-easter-egg/,https://www.slashfilm.com/img/gallery/the-final-marvels-trailer-features-an-x-men-easter-egg-you-probably-missed/l-intro-1699370435.jpg,2023-11-07T15:39:56Z,"I've felt a little bad having ragged on the MCU as much as I have of late ... that is, until I remind myself that my (entirely one-sided) beef has never been with the individual creatives who work on… [+1491 chars]",Lore,
,/FILM,staff@slashfilm.com (Bill Bria),The Marvels Composer On Going Through 'Marvel College' And Creating Music With 'Space Junk' [Exclusive Interview],"/film sat down with laura karpman, the composer of the marvels, to talk about finding the sound of the score, getting music out of &amp;#39;space junk,&amp;#39; and more.",https://www.slashfilm.com/1439957/the-marvels-composer-laura-karpman-exclusive-interview/,https://www.slashfilm.com/img/gallery/the-marvels-composer-laura-karpman-on-going-through-marvel-college-and-creating-music-with-human-voices-exclusive-interview/l-intro-1699490728.jpg,2023-11-09T18:00:00Z,"So when those bigger questions were addressed, how did you go about building your sonic palette for the score? I would love to know more about the human voices, and of course, Evelyn Glennie, who I w… [+1948 chars]",Production,
,IndieWire,Tom Brueggemann,"Marvel Taught Us That Movies Need to Be Events, but the MCU No Longer Qualifies","""the marvels"" is a disaster while ""priscilla"" and ""the holdovers"" both stay strong. ""dream scenario"" and ""tiger 3"" thrive in platform release.",https://www.indiewire.com/news/box-office/the-marvels-movies-need-to-be-events-mcu-no-longer-qualifies-1234925594/,https://www.indiewire.com/wp-content/uploads/2023/11/GRO-01822_RC-1.jpg,2023-11-12T19:00:00Z,Box-office highlights of 2023 include the breakout successes of “Barbie” and “Oppenheimer” and disruptor titles like “Sound of Freedom” and “Taylor Swift: The Eras Tour.” We’ve also seen the weakness… [+7827 chars],Lore,
,/FILM,staff@slashfilm.com (Rafael Motamayor),"Post-Endgame Marvel Finally Has A Unifying Theme, And It's Not The Multiverse","believe it or not, there&amp;#39;s a unifying theme in the latest wave of mcu entries, including the marvels. and no, we&amp;#39;re not talking about the multiverse.",https://www.slashfilm.com/1441885/post-endgame-marvel-has-a-unifying-theme/,https://www.slashfilm.com/img/gallery/post-endgame-marvel-finally-has-a-unifying-theme-and-its-not-the-multiverse/l-intro-1699491436.jpg,2023-11-10T17:00:00Z,"The first time this theme really showed up in Phase 4 was in ""Spider-Man: No Way Home,"" where it was the entire core of the movie and its raison d'etre. Peter Parker tries to do it all and save every… [+1294 chars]",Lore,
,/FILM,staff@slashfilm.com (Ryan Scott),Is There A Credits Scene In The Marvels? A Spoiler-Free Guide,"do you need to sit through the credits to get a little extra taste of story at the end of marvel studios&amp;#39; new movie, the marvels? read on to find out!",https://www.slashfilm.com/1440581/the-marvels-credits-scene-spoiler-free-guide/,https://www.slashfilm.com/img/gallery/is-there-a-credits-scene-in-the-marvels-a-spoiler-free-guide/l-intro-1699378309.jpg,2023-11-08T18:00:00Z,"As far as the importance this scene carries for the future of the MCU? Again, without spoiling anything, this is a very consequential scene. It's the sort of scene that sets the stage for things to c… [+1350 chars]",Writing,
,/FILM,staff@slashfilm.com (Ryan Scott),The Marvels Suggests A Strange Plan For The MCU's X-Men – But What Happens Next?,"the marvels mid-credits scene includes quite the surprise for longtime fans of the x-men movies, but what does this mean for their place in the mcu&amp;#39;s future?",https://www.slashfilm.com/1442979/the-marvels-strange-plan-mcu-x-men-future/,https://www.slashfilm.com/img/gallery/the-marvels-suggests-a-strange-plan-for-the-mcus-x-men-but-what-happens-next/l-intro-1699554438.jpg,2023-11-10T16:00:00Z,"Warning: This article contains majorspoilersfor ""The Marvels.""
""The Marvels"" has finally arrived, and it may well be the last Marvel Cinematic Universe movie to grace our screens for a good while. ""… [+1932 chars]",Lore,Marvel
,/FILM,staff@slashfilm.com (Rafael Motamayor),The Marvels Is At Its Best When It's A Sequel To Ms. Marvel,"the marvels gives us three main characters to follow, but it&amp;#39;s ms. marvel, aka kamala khan, and her whole family who shine the brightest in the sequel",https://www.slashfilm.com/1441600/the-marvels-best-when-sequel-to-ms-marvel/,https://www.slashfilm.com/img/gallery/the-marvels-is-at-its-best-when-its-a-sequel-to-ms-marvel/l-intro-1699460076.jpg,2023-11-10T15:00:12Z,"Speaking to Variety, director Nia DaCosta described the film as ""really wacky and silly,"" and that is mostly thanks to the Khans and the ""Ms. Marvel"" connection. Captain Marvel is a rather somber cha… [+1976 chars]","Lore, Delivery",Marvel
,/FILM,staff@slashfilm.com (Bill Bria),The Marvels Executive Producer On Working With MCU Continuity And The Magnitude Of Space [Exclusive Interview],"/film sat down with mary livanos, an executive producer of the marvels, to talk about fitting the film into the mcu&amp;#39;s continuity, its cosmic setting, and more.",https://www.slashfilm.com/1441136/the-marvels-executive-producer-mary-livanos-exclusive-interview/,https://www.slashfilm.com/img/gallery/the-marvels-executive-producer-on-working-with-mcu-continuity-and-portraying-the-magnitude-of-space-exclusive-interview/l-intro-1699397504.jpg,2023-11-09T13:00:00Z,"So Carol, Kamala, and Monica, they've all already been established in other media, but what was it like for you to make Marvel's first all-female team film? How do you approach balancing characters t… [+2018 chars]","Production, Cast",Marvel
,ComingSoon.net,Neil Bolt,Imaginary: New Blumhouse Horror Stars DeWanda Wise,"lionsgate and blumhouse have revealed that dewanda wise will star in and executive produce blumhouse productions’ upcoming horror movie imaginary. imaginary gets a little more real wise has previously starred in the harder they fall, alongside idris elba, lak…",https://www.comingsoon.net/movies/news/1394885-imaginary-dewanda-wise,"https://www.comingsoon.net/wp-content/uploads/sites/3/2023/11/imaginary-dewanda-wise.jpg?resize=1200,630",2023-11-08T14:13:10Z,"Lionsgate and Blumhouse have revealed that DeWanda Wise will star in and executive produce Blumhouse Productions upcoming horror movie Imaginary.
Wise has previously starred in The Harder They Fall,… [+1537 chars]",Production,
,The A.V. Club,Mary Kate Carr,Kevin Feige confirms he won’t be making a Star Wars either,"so, obviously, kevin feige isn’t going to make a star wars. we more or less knew that already, but feige himself confirmed as much in conversation with entertainment tonight at the premiere of the marvels. asked directly if the film was still on, feige gave a…",https://www.avclub.com/kevin-feige-confirms-won-t-be-making-a-star-wars-1851007898,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/b60d007949f4d71278f49cdf500310b7.jpg",2023-11-09T17:43:20Z,"So, obviously, Kevin Feige isnt going to make a Star Wars. We more or less knew that already, but Feige himself confirmed as much in conversation with Entertainment Tonight at the premiere of The Mar… [+1962 chars]",Cast,
,Bleeding Cool News,Kaitlyn Booth,The Ballad Of Songbirds & Snakes: New Poster Has Been Released,"the strike is over, which means promotional material for the next couple of movies set to be released this month is about to jump into overdrive. while the hunger games: the ballad of songbirds & snakes has that agreement, it also felt like they still weren't…",https://bleedingcool.com/movies/the-ballad-of-songbirds-snakes-new-poster-has-been-released/,https://bleedingcool.com/wp-content/uploads/2023/11/Dolby-Cinema-Artwork-Hunger-Games-1200x628.jpg,2023-11-09T17:12:08Z,"Posted in: Lionsgate, Movies | Tagged: lionsgate, The Ballad of Songbirds &amp; Snakes, the hunger games, The Hunger Games: The Ballad Of Songbirds &amp; Snakes
Dolby Cinema has released a new poste… [+2716 chars]",Production,Hunger Games
,/FILM,staff@slashfilm.com (Jacob Hall),Wes Ball Is A Fantastic And Fascinating Choice To Direct A Legend Of Zelda Movie,the director of the upcoming legend of zelda movie has proven he has the chops to bring link and hyrule to life.,https://www.slashfilm.com/1441753/wes-ball-fantastic-fascinating-choice-direct-legend-of-zelda-movie/,https://www.slashfilm.com/img/gallery/wes-ball-is-a-fantastic-and-fascinating-choice-to-direct-a-legend-of-zelda-movie/l-intro-1699465037.jpg,2023-11-08T19:00:14Z,"Wes Ball has made three feature films: ""The Maze Runner"" and its two sequels, ""The Maze Runner: The Scorch Trials"" and ""The Maze Runner: The Death Cure."" Unlike so many other YA book adaptations that… [+1527 chars]",Cast,
